DATE,Close,High,Low,Open,Volume
2020-08-28,11542.5,11545.615234375,11316.4228515625,11325.2958984375,19807127588
2020-09-04,10511.8134765625,10663.919921875,10207.9404296875,10230.365234375,29965130374
2020-09-11,10400.9150390625,10434.9228515625,10140.8369140625,10369.0283203125,45201121775
2020-09-18,10944.5859375,11034.908203125,10829.6572265625,10951.8203125,26341903912
2020-09-25,10692.716796875,10777.6962890625,10578.9140625,10761.109375,39348590957
2020-10-02,10575.974609375,10657.837890625,10416.689453125,10619.8212890625,48661453918
2020-10-09,11064.4580078125,11102.671875,10846.8505859375,10927.9130859375,22799117613
2020-10-16,11322.123046875,11540.0615234375,11223.0126953125,11502.828125,25635480772
2020-10-23,12931.5390625,13015.9619140625,12752.6474609375,12971.548828125,28974975003
2020-10-30,13546.5224609375,13651.5166015625,13136.1982421875,13437.8740234375,30581485201
2020-11-06,15565.880859375,15903.4375,15226.83984375,15579.7294921875,39837841971
2020-11-13,16317.80859375,16463.177734375,15992.15234375,16276.4404296875,31599492172
2020-11-20,18621.314453125,18773.2265625,17765.794921875,17817.083984375,36992873940
2020-11-27,17108.40234375,17445.0234375,16526.423828125,17153.9140625,38886494645
2020-12-04,18699.765625,19511.404296875,18697.193359375,19446.966796875,33872388058
2020-12-11,18058.904296875,18268.453125,17619.533203125,18263.9296875,27919640985
2020-12-18,23137.9609375,23238.6015625,22399.8125,22806.796875,40387896275
2020-12-25,24664.791015625,24710.1015625,23463.673828125,23733.5703125,42068395846
2021-01-01,29374.15234375,29600.626953125,28803.5859375,28994.009765625,40730301359
2021-01-08,40797.609375,41946.73828125,36838.63671875,39381.765625,88107519480
2021-01-15,36825.3671875,39577.7109375,34659.58984375,39156.70703125,67760757881
2021-01-22,33005.76171875,33811.8515625,28953.373046875,30817.625,77207272511
2021-01-29,34316.38671875,38406.26171875,32064.814453125,34318.671875,117894572511
2021-02-05,38144.30859375,38225.90625,36658.76171875,36931.546875,58598066402
2021-02-12,47504.8515625,48745.734375,46424.9765625,47877.03515625,76555041196
2021-02-19,55888.1328125,56113.65234375,50937.27734375,51675.98046875,63495496918
2021-02-26,46339.76171875,48370.78515625,44454.84375,47180.46484375,350967941479
2021-03-05,48927.3046875,49396.4296875,46542.515625,48527.03125,48625928883
2021-03-12,57332.08984375,57996.62109375,55376.6484375,57821.21875,55689944702
2021-03-19,58346.65234375,59498.375,56643.703125,57850.44140625,49063873786
