DATE,WM2NS
2020-08-24,18305.9
2020-08-31,18425.0
2020-09-07,18560.3
2020-09-14,18644.0
2020-09-21,18596.3
2020-09-28,18533.7
2020-10-05,18677.4
2020-10-12,18689.8
2020-10-19,18745.3
2020-10-26,18683.2
2020-11-02,18870.9
2020-11-09,18951.0
2020-11-16,19033.9
2020-11-23,19008.7
2020-11-30,19088.7
2020-12-07,19194.5
2020-12-14,19243.7
2020-12-21,19297.1
2020-12-28,19328.2
2021-01-04,19399.0
2021-01-11,19459.6
2021-01-18,19429.7
2021-01-25,19310.4
2021-02-01,19414.6
2021-02-08,19447.9
2021-02-15,19554.9
2021-02-22,19564.7
2021-03-01,19651.1
2021-03-08,19742.6
2021-03-15,19879.3
2021-03-22,20056.0
2021-03-29,20129.4
2021-04-05,20333.8
2021-04-12,20321.8
2021-04-19,20315.9
2021-04-26,20163.1
2021-05-03,20286.6
2021-05-10,20366.4
2021-05-17,20416.4
2021-05-24,20248.0
2021-05-31,20295.4
2021-06-07,20431.9
2021-06-14,20517.4
2021-06-21,20421.3
2021-06-28,20362.0
2021-07-05,20582.9
2021-07-12,20575.3
2021-07-19,20604.4
2021-07-26,20556.1
2021-08-02,20682.5
2021-08-09,20741.1
2021-08-16,20811.4
2021-08-23,20786.6
2021-08-30,20818.0
2021-09-06,20960.3
2021-09-13,21004.8
2021-09-20,20959.2
2021-09-27,20869.3
2021-10-04,21074.2
2021-10-11,21099.4
2021-10-18,21174.7
2021-10-25,21063.7
2021-11-01,21204.0
2021-11-08,21283.3
2021-11-15,21347.7
2021-11-22,21377.1
2021-11-29,21406.1
2021-12-06,21549.7
2021-12-13,21605.0
2021-12-20,21731.2
2021-12-27,21776.1
2022-01-03,21753.5
2022-01-10,21773.6
2022-01-17,21746.8
2022-01-24,21562.8
2022-01-31,21551.6
2022-02-07,21588.9
2022-02-14,21599.1
2022-02-21,21602.5
2022-02-28,21687.1
2022-03-07,21840.6
2022-03-14,21891.3
2022-03-21,21896.0
2022-03-28,21883.2
2022-04-04,22026.4
2022-04-11,22013.2
2022-04-18,22086.8
2022-04-25,21640.3
2022-05-02,21646.8
2022-05-09,21584.1
2022-05-16,21616.8
2022-05-23,21572.8
2022-05-30,21558.8
2022-06-06,21657.6
2022-06-13,21632.6
2022-06-20,21590.0
2022-06-27,21564.3
2022-07-04,21659.9
2022-07-11,21625.7
2022-07-18,21603.3
2022-07-25,21557.4
2022-08-01,21627.3
2022-08-08,21619.8
2022-08-15,21628.4
2022-08-22,21575.3
2022-08-29,21509.4
2022-09-05,21578.2
2022-09-12,21575.2
2022-09-19,21519.2
2022-09-26,21397.3
2022-10-03,21470.0
2022-10-10,21438.9
2022-10-17,21472.5
2022-10-24,21332.7
2022-10-31,21383.6
2022-11-07,21426.5
2022-11-14,21426.7
2022-11-21,21433.3
2022-11-28,21393.0
2022-12-05,21461.1
