date,symbol,total_transactions,total_block_cnt,avg_block_difficulty,avg_secs_between_blocks,hashrate,avg_block_size_MB,avg_transactions_count_per_block,first_block,last_block
2020-08-01,btc,296705,137,2291268379170837,620.43,1.166290117672577e+20,1.2878,2166,641680,641816
2020-08-02,btc,287869,141,2358658625617038,613.28,1.1798834903100996e+20,1.3531,2042,641817,641957
2020-08-03,btc,333753,162,2712457419459593,531.11,1.3624198515210687e+20,1.3269,2060,641958,642119
2020-08-04,btc,329032,145,2426048872063239,595.06,1.2160021197597472e+20,1.3109,2269,642120,642264
2020-08-05,btc,291814,129,2156487886278435,663.65,1.0903322007588317e+20,1.268,2262,642265,642393
2020-08-06,btc,356612,156,2611372049790292,549.54,1.3167434726734352e+20,1.277,2286,642394,642549
2020-08-07,btc,326499,152,2543981803344090,568.89,1.2719516014740018e+20,1.302,2148,642550,642701
2020-08-08,btc,283631,142,2375506187228588,603.35,1.199304281736933e+20,1.3273,1997,642702,642843
2020-08-09,btc,268402,156,2611372049790292,540.71,1.338236195148286e+20,1.251,1721,642844,642999
2020-08-10,btc,308367,137,2294576323009916,629.14,1.151798121326218e+20,1.2491,2251,643000,643136
2020-08-11,btc,349952,154,2593013757093832,556.18,1.3087618878660433e+20,1.2851,2272,643137,643290
2020-08-12,btc,346405,157,2643857164095671,553.26,1.31566946923648e+20,1.3003,2206,643291,643447
2020-08-13,btc,325346,147,2474379140756205,584.18,1.2460139390384074e+20,1.2071,2213,643448,643594
2020-08-14,btc,365679,167,2813335187435137,518.22,1.4046292456430698e+20,1.2647,2190,643595,643761
2020-08-15,btc,313760,156,2626909361761725,543.4,1.3395336172869557e+20,1.2299,2011,643762,643917
2020-08-16,btc,285069,152,2559118152425938,562.85,1.2932496495198663e+20,1.1475,1875,643918,644069
2020-08-17,btc,292944,125,2101527489409380,679.97,1.0704957349326668e+20,1.2683,2344,644070,644194
2020-08-18,btc,346036,140,2355744524418579,620.51,1.1730699574623909e+20,1.2452,2472,644195,644334
2020-08-19,btc,333879,138,2321848919750686,621.58,1.1710584311830195e+20,1.2941,2419,644335,644472
2020-08-20,btc,333683,146,2457431338422259,570.16,1.2766667752094528e+20,1.2653,2286,644473,644618
2020-08-21,btc,314297,155,2609961559427778,542.9,1.3407769228954224e+20,1.3444,2028,644619,644773
2020-08-22,btc,311699,136,2287953315082792,631.9,1.1519200842903133e+20,1.3183,2292,644774,644909
2020-08-23,btc,288728,157,2643857164095671,550.76,1.3216415716248296e+20,1.2519,1839,644910,645066
2020-08-24,btc,329133,149,2566853052741284,564.94,1.3185525726473285e+20,1.1662,2209,645067,645215
2020-08-25,btc,304409,128,2229865115466247,672.39,1.1215436564377403e+20,1.3181,2378,645216,645343
2020-08-26,btc,324184,142,2475677017958589,599.01,1.2589334392127568e+20,1.3025,2283,645344,645485
2020-08-27,btc,328157,129,2247423108501415,670.83,1.1241479457862528e+20,1.2688,2544,645486,645614
2020-08-28,btc,352722,163,2844394871697103,519.46,1.4517109254392798e+20,1.3021,2164,645615,645777
2020-08-29,btc,292783,146,2545908990099258,590.15,1.277824037193089e+20,1.3283,2005,645778,645923
2020-08-30,btc,269114,127,2212307122431080,683.03,1.1040629708290947e+20,1.3105,2119,645924,646050
2020-08-31,btc,302920,150,2616140962239927,577.62,1.3055527652990714e+20,1.1713,2019,646051,646200
2020-09-01,btc,376508,154,2686372934380597,550.36,1.370213633160052e+20,1.274,2445,646201,646354
2020-09-02,btc,317449,144,2510793004028924,599.15,1.2586397720919982e+20,1.2935,2205,646355,646498
2020-09-03,btc,310922,129,2247423108501415,655.36,1.1506817289283358e+20,1.2954,2410,646499,646627
2020-09-04,btc,298286,135,2352771066712418,638.57,1.18094086416708e+20,1.3,2210,646628,646762
2020-09-05,btc,325523,141,2458119024923422,609.53,1.2372021494036963e+20,1.2761,2309,646763,646903
2020-09-06,btc,262820,150,2616140962239927,562.97,1.3395133548569384e+20,1.4218,1752,646904,647053
2020-09-07,btc,327662,175,3035375231799956,494.17,1.5161757692236123e+20,1.2805,1872,647054,647228
2020-09-08,btc,332668,155,2671283662113080,555.95,1.3400464822540842e+20,1.2495,2146,647229,647383
2020-09-09,btc,314864,149,2567207675277505,578.21,1.288468946229281e+20,1.1946,2113,647384,647532
2020-09-10,btc,345981,158,2723321655530867,544.98,1.3670294578193184e+20,1.3333,2190,647533,647690
2020-09-11,btc,308323,138,2376401699412286,619.79,1.2020312540347644e+20,1.3286,2234,647691,647828
2020-09-12,btc,300152,170,2931473629202016,505.17,1.4747734490423306e+20,1.0605,1766,647829,647998
2020-09-13,btc,255110,162,2792705646754584,528.84,1.4087569641856011e+20,0.9385,1575,647999,648160
2020-09-14,btc,354020,176,3035549616037590,491.77,1.514941474118848e+20,1.1605,2011,648161,648336
2020-09-15,btc,332957,156,2688629659919009,552.27,1.3489844233087717e+20,1.1724,2134,648337,648492
2020-09-16,btc,342609,155,2671283662113080,551.03,1.3520163998061249e+20,1.3091,2210,648493,648647
2020-09-17,btc,348581,178,3070241611649449,484.94,1.5362716039905303e+20,1.2683,1958,648648,648825
2020-09-18,btc,325157,165,2844743640172371,514.68,1.4475198621019968e+20,1.1539,1971,648826,648990
2020-09-19,btc,296357,149,2567207675277505,576.28,1.292789575133613e+20,1.2497,1989,648991,649139
2020-09-20,btc,259095,142,2701711308397830,599.26,1.3733074990001835e+20,1.094,1825,649140,649281
2020-09-21,btc,297605,145,2781310522189968,585.56,1.4166859658716802e+20,1.2064,2052,649282,649426
2020-09-22,btc,312989,129,2472276019724416,673.48,1.2317550781742843e+20,1.2863,2426,649427,649555
2020-09-23,btc,349938,142,2723366552977677,605.5,1.37004629927489e+20,1.288,2464,649556,649697
2020-09-24,btc,316552,137,2626793270957192,621.99,1.3337105829360104e+20,1.2584,2311,649698,649834
2020-09-25,btc,353070,169,3244862275888296,510.83,1.623950099041513e+20,1.3481,2089,649835,650003
2020-09-26,btc,276162,150,2877883804210453,574.6,1.4437209391779434e+20,1.312,1841,650004,650153
2020-09-27,btc,259382,152,2916513117018647,563.08,1.4732523911731972e+20,1.0157,1706,650154,650305
2020-09-28,btc,295476,129,2472276019724416,656.14,1.264299365537282e+20,1.2442,2291,650306,650434
2020-09-29,btc,347696,141,2704051896573580,611.27,1.3571028140959475e+20,1.2743,2466,650435,650575
2020-09-30,btc,351417,156,2993771742635035,553.26,1.49940548379761e+20,1.3244,2253,650576,650731
2020-10-01,btc,304757,124,2375702737703931,697.12,1.1899756913973889e+20,1.3008,2458,650732,650855
2020-10-02,btc,315443,136,2607478614553095,627.54,1.3219192349353068e+20,1.2911,2319,650856,650991
2020-10-03,btc,310855,151,2897198460614550,566.03,1.4655641762394484e+20,1.3243,2059,650992,651142
2020-10-04,btc,268019,158,3030197349471255,545.99,1.5182686090066405e+20,1.22,1696,651143,651300
2020-10-05,btc,294986,140,2682434118890503,604.29,1.371592653822075e+20,1.1998,2107,651301,651440
2020-10-06,btc,317922,130,2489453247027877,667.3,1.2420854860372364e+20,1.3007,2446,651441,651570
2020-10-07,btc,370554,151,2894713077939391,563.3,1.4714122730402016e+20,1.2789,2454,651571,651721
2020-10-08,btc,330227,162,3106992036988281,534.17,1.5516417278432e+20,1.2237,2038,651722,651883
2020-10-09,btc,339343,142,2721030293263028,609.72,1.3593970130266364e+20,1.3135,2390,651884,652025
2020-10-10,btc,298486,143,2740328380449290,604.68,1.3707122546241597e+20,1.2982,2087,652026,652168
2020-10-11,btc,256096,140,2682434118890503,618.55,1.3399745070667586e+20,1.0669,1829,652169,652308
2020-10-12,btc,314174,149,2856116903566866,561.84,1.4752238276878134e+20,1.1842,2109,652309,652457
2020-10-13,btc,333215,166,3184184385733331,520.79,1.5915057198401628e+20,1.2578,2007,652458,652623
2020-10-14,btc,314541,149,2856116903566866,562.39,1.4737881988577354e+20,1.1365,2111,652624,652772
2020-10-15,btc,340993,151,2894713077939391,560.29,1.479325821431075e+20,1.2614,2258,652773,652923
2020-10-16,btc,324647,155,2971905426684442,550.08,1.5067624348582396e+20,1.2156,2094,652924,653078
2020-10-17,btc,275069,157,3046862539082509,549.9,1.5254796886094024e+20,1.0297,1752,653079,653235
2020-10-18,btc,231557,120,2379682983339087,696.41,1.2332919754671717e+20,1.083,1930,653236,653355
2020-10-19,btc,303929,125,2479669663311318,689.28,1.2460483800125704e+20,1.2756,2431,653356,653480
2020-10-20,btc,330563,144,2859619047205793,601.34,1.4282689420838637e+20,1.2263,2296,653481,653624
2020-10-21,btc,311292,130,2579656343283548,641.81,1.33820562230618e+20,1.2972,2395,653625,653754
2020-10-22,btc,339087,137,2719637695244671,633.32,1.356161539752781e+20,1.2839,2475,653755,653891
2020-10-23,btc,323869,131,2599653679277994,663.44,1.29458735184123e+20,1.2844,2472,653892,654022
2020-10-24,btc,306774,152,3019597735161362,567.94,1.5122696766046385e+20,1.338,2018,654023,654174
2020-10-25,btc,242273,117,2319690975355749,737.09,1.1652355355406054e+20,1.3736,2071,654175,654291
2020-10-26,btc,252494,110,2179709623394626,784.71,1.094522762823284e+20,1.3405,2295,654292,654401
2020-10-27,btc,251938,99,1959738927455719,879.6,9.764404823749643e+19,1.2995,2545,654402,654500
2020-10-28,btc,261340,100,1979736263450165,857.96,1.001071664770032e+20,1.2878,2613,654501,654600
2020-10-29,btc,276070,108,2139714951405734,806.5,1.0649399438038676e+20,1.2986,2556,654601,654708
2020-10-30,btc,268364,111,2199706959389072,768.99,1.1168910202697353e+20,1.2941,2418,654709,654819
2020-10-31,btc,275796,113,2239701631377965,759.95,1.130183666560872e+20,1.2797,2441,654820,654932
2020-11-01,btc,276280,125,2479669663311318,689.16,1.2462670975479126e+20,1.2469,2210,654933,655057
2020-11-02,btc,224609,95,1879749583477934,908.74,9.451268977204172e+19,1.3265,2364,655058,655152
2020-11-03,btc,331673,140,2481140959468259,621.24,1.2340674538727804e+20,1.2826,2369,655153,655292
2020-11-04,btc,320697,159,2652469178369361,539.21,1.3371991753910906e+20,1.3423,2017,655293,655451
2020-11-05,btc,318668,147,2451015823050169,576.59,1.2505087550757878e+20,1.2818,2168,655452,655598
2020-11-06,btc,340351,153,2551742500709764,548.45,1.3146585003732614e+20,1.2726,2225,655599,655751
2020-11-07,btc,270901,146,2434228043440236,586.22,1.2299628052965673e+20,1.3592,1855,655752,655897
2020-11-08,btc,243047,138,2299925806560775,614.36,1.1736317229323783e+20,1.3721,1761,655898,656035
2020-11-09,btc,326383,185,3088951448227609,468.37,1.5394459792375746e+20,1.3707,1764,656036,656220
2020-11-10,btc,303270,147,2451015823050169,587.03,1.2282725599116743e+20,1.2257,2063,656221,656367
2020-11-11,btc,322277,147,2451015823050169,585.83,1.2307856568938743e+20,1.2972,2192,656368,656514
2020-11-12,btc,324855,160,2669256957979294,539.25,1.3371088569094368e+20,1.2476,2030,656515,656674
2020-11-13,btc,300040,139,2316713586170707,621.26,1.1605907909116645e+20,1.2766,2159,656675,656813
2020-11-14,btc,273511,142,2367076925000506,599.55,1.20261163514123e+20,1.2902,1926,656814,656955
2020-11-15,btc,252715,150,2501379161879967,573.6,1.2570163566254047e+20,1.2052,1685,656956,657105
2020-11-16,btc,311477,160,2709708030461232,529.32,1.3828221017251924e+20,1.2089,1947,657106,657265
2020-11-17,btc,347772,157,2745100965293144,544.19,1.3888047294452004e+20,1.2825,2215,657266,657422
