,Lag 0,Lag 1,Lag 2,Lag 3,Lag 4
DGS10,0.027889813781858747,0.05455043193590926,-0.10864651022337438,-0.01885008948750598,-0.04642057107338769
WM2NS,-0.21968591778941043,0.22211117536571057,-0.010850184110190517,-0.09660670862346814,-0.05524701768593324
CRBL.L,0.4828799450785205,0.16056010466469295,-0.2338335233347281,-0.1222182432532317,0.14438323162497346
CLF,0.37715609714236675,-0.21874723206299618,-0.2371126900880301,0.0908697248664011,0.1164873015902616
IXIC,0.3355359134986699,-0.08873536928241241,-0.07055030823648321,-0.0027660457400144646,0.41331743211586747
INDPRO,-0.008439037852916813,-0.04909218784689076,-0.00452911428108707,-0.24748731541094462,0.00863614910842553
UNRATE,0.08238786359722867,-0.11415352467141363,0.44743715611584234,0.004962253809719152,-0.11239870477090241
FX_EURUSD_daily_volatility,-0.05187151696698013,0.08421083836143056,0.04098259342912816,0.08618259667605616,0.04138553999852616
GCF,0.16013043851368744,0.23365768345881135,-0.3364521534968855,-0.06751200528405674,0.0975267866447934
HOUST,-0.005712579469666766,0.05318889336957983,-0.032854051213599855,0.0557717893883819,0.19255413938045068
PPIACO,0.13411578618558564,0.22907411714369746,-0.1184039876341334,-0.09578198612352543,0.14153688816586285
WALCL,0.15858577190423065,0.12273847185579584,-0.01567248815916408,-0.036368379174264255,0.07736761845564617
CPIAUCSL,0.12645573644216887,0.007305791515462185,-0.004960458498333457,-0.24869974561503994,0.030386450566682422
GSPC,0.2949455075946108,-0.13573965813385425,-0.08858572537964436,-0.003995399402243116,0.406997260467378
EFFR,0.31536348155449856,0.01887932168681343,-0.26223523526262305,0.10884682434787445,0.2169626300774423
VIX,-0.21582425126576846,0.024184024824919777,0.1434635454569635,0.12928702681104645,-0.2886574947732488
RSXFS,0.12944185752858556,0.15833766845193276,0.1120776057811864,0.12184923551157349,0.055335325768800625
DX-Y.NYB,0.048056294516433534,-0.10037279476207306,0.01711917937385615,-0.09701649317754436,0.016345271504713977
PCEPI,0.008828531907666819,0.06370377087781513,0.1573687485920571,-0.1633749700018361,-0.11658801296374466
