,Lag 0,Lag 1,Lag 2,Lag 3,Lag 4
DGS10,0.2081009182184845,0.05682336659990549,-0.1633314381387346,0.1424001325414854,0.27416468737240246
WM2NS,0.22552132498069166,0.10391857283790715,0.039398224080114015,-0.08195691081524338,0.2796131112073071
CRBL.L,0.05217540547498498,-0.021274668455004614,-0.12340276061323349,0.08113734170709096,0.01874257799207203
CLF,0.12134214365399469,0.09500866895504198,0.056565626494459904,0.018440304933429765,0.15495317386468851
IXIC,0.3605938384965245,0.35812358565924435,-0.21367629241001856,0.10152412327238275,0.09861647141177432
INDPRO,-0.2087688133460036,0.2280499407630252,-0.1875628437993042,0.005304382142916756,0.23573488492257835
UNRATE,-0.20611394596959923,0.0943568004592947,0.03839737236248352,-0.14769013033672596,-0.19330448121215182
FX_EURUSD_daily_volatility,-0.02559337223288293,-0.10036334830575669,0.19268079472378585,0.1538390057055967,-0.13352282115313965
GCF,0.1151634772161675,-0.21929273638235525,-0.04132714569970344,0.05962365261808957,-0.06897704574989298
HOUST,-0.10983732343950192,0.15567480986218488,-0.24478784328732497,-0.1076031806134542,0.354721828194219
PPIACO,0.14969554837558594,0.21166311867226892,-0.09151686475910857,-0.107906288164478,0.045579675850023635
WALCL,-0.09491118166995624,0.09073555178672908,-0.1908185712178839,0.08892324823453908,0.11790389178733682
CPIAUCSL,-0.046479623866834144,0.23897448882352942,0.022501789999686557,-0.013791393571583566,-0.015353153970534274
GSPC,0.35836265339397577,0.407037139628443,-0.15667665855115107,0.022947935028268147,0.08423263248762604
EFFR,-0.0247289426064761,-0.21623635457783213,-0.03142319173521673,-0.05043595425228243,-0.27478146709808005
VIX,-0.3202608770273749,-0.43594886855447496,0.2549552150692323,-0.061775021526989715,-0.12694827535327854
RSXFS,-0.06076107254100105,0.19145270476033613,-0.24320624782408823,-0.2703719355132426,0.020151014586326236
DX-Y.NYB,0.026945850853857378,0.1271025064106686,-0.22496048388461673,-0.06013588331068484,0.12346128409893957
PCEPI,0.03102969302841721,0.14925663787663865,0.015456501117995557,0.002424860408190517,-0.07372712479600313
