,Lag 0,Lag 1,Lag 2,Lag 3,Lag 4
DGS10,-0.07997940444520724,0.22783897071898104,0.10459577482223659,0.11473967514134074,-0.03781206141423833
WM2NS,-0.3267828027117481,0.05064098431383577,0.0595554550048235,0.23275762671529124,-0.022447506199807194
CRBL.L,0.20612717755084525,0.2748432595704229,-0.035058150436037806,-0.09527490882272045,-0.1435114838113887
CLF,0.237707028233073,0.11655608956972613,0.0060278800612169545,0.1998724162506748,0.0927321736700773
IXIC,0.47052261220286623,0.03518502859866148,0.04354540556223127,0.03339744115721168,0.15713254339865038
INDPRO,-0.1251574229263355,-0.16564345996739496,-0.16196975357601856,-0.14314254097099646,0.23045723824520717
UNRATE,0.10143374449886472,0.0006067961444327634,-0.11814576111533391,-0.07258347521673947,-0.0011532621641844765
FX_EURUSD_daily_volatility,-0.01549297783997261,0.08983699351057786,0.12853412674775916,0.22917201182623484,0.22718483272875148
GCF,-0.11799536600017163,0.07282482663443886,-0.1805952866340599,-0.09906541594792545,-0.15288277280742474
HOUST,-0.17708996355966977,-0.10050584215663866,-0.09381736725108931,-0.04584501709235197,0.17848041490746094
PPIACO,0.03492463357591727,0.10624122988840336,0.12314877402384367,0.020383982806351533,-0.050857322527394784
WALCL,0.006436110872736634,0.1583780873872566,0.24521416089030568,0.057472283709189435,0.14285767295120014
CPIAUCSL,-0.06063124118941771,-0.16578001681815127,0.0593098298713783,0.1545090741343895,0.18183891733851534
GSPC,0.5860293486655798,0.11301031149389203,0.044895650695943874,0.013010659591919889,0.1803428289353442
EFFR,0.1473548602505748,0.20163894090246093,0.026919542105413686,-0.07069655125960955,-0.048504211017313024
VIX,-0.5101690551789239,-0.05927813603702141,0.04904283217806114,0.02704578056903032,-0.19472666785949252
RSXFS,-0.04297417737408408,0.012153559717310924,-0.3253054305066507,0.0279616715819469,-0.026228304699662718
DX-Y.NYB,0.04393718355788209,-0.039276310993854674,-0.05193621460744527,-0.19014003309136465,-0.16279890418695123
PCEPI,-0.14242499268691913,-0.11648299369512603,0.020632631724952208,0.1679973601549493,0.02926694975633096
