,Lag 0,Lag 1,Lag 2,Lag 3,Lag 4
DGS10,0.11258903286707285,0.16156019591685128,0.00342383587477123,-0.043129824316521834,0.026697276791032825
WM2NS,-0.026173517549128982,0.30139113644589866,-0.04026623880892925,0.006863891280776634,-0.1373002806395974
CRBL.L,0.5111988329185617,0.24584061325783108,-0.18136685528189572,-0.2537590851116973,0.028658709371598506
CLF,0.5862009782888526,0.008546234336625784,-0.2230315622650273,-0.10521218425906871,0.1674845486849692
IXIC,0.1962584742126491,0.14046736223496636,-0.14404222194284033,-0.18163700359428317,0.29683013052560586
INDPRO,-0.14644976458600253,-0.2464168371897479,-0.024946073897416085,-0.20740134178804517,0.1778407001586887
UNRATE,-0.09017936032971614,0.06318264853906148,0.05564026722796469,0.24029083278589183,-0.12224578940355449
FX_EURUSD_daily_volatility,-0.25542014295291865,0.16560859914828746,-0.011606116353019844,0.17451464053761961,0.006643468262921303
GCF,-0.029091221144769582,0.21829264513019694,-0.3602743354988149,-0.05450134569213685,-0.05459320682574468
HOUST,-0.12489776022316883,0.03461716166672269,-0.3421278549792598,-0.03584246790856608,0.09355828200794324
PPIACO,0.10672137100150185,0.2573413852502521,0.09295467881659653,-0.3054566345442492,0.001279429497544523
WALCL,0.041362739208787434,0.014001277530216712,-0.07855533295777933,0.1289796883954893,0.007627793368866522
CPIAUCSL,-0.020123859495417014,0.02164426084487395,0.058159578625387925,-0.2208896278086049,0.15257196758218436
GSPC,0.33828198747103755,0.18065284709441953,-0.19766624296742635,-0.2498661318479733,0.21728314253599781
EFFR,0.010373189407960013,-0.1516184700415223,-0.24759837396576312,-0.15842062553601532,0.11404737204070788
VIX,-0.30670213678880975,-0.165924230471724,0.11424038292018372,0.3256762743520734,-0.028440772418202323
RSXFS,-0.08685717420925151,0.18373724269260502,0.009417682076546129,0.05812087290881646,0.029586807130717093
DX-Y.NYB,0.26920106410366423,-0.1583780873872566,0.06678891107828384,-0.12621364265547483,0.023537190966788125
PCEPI,-0.1465795959375859,0.08869367456621849,0.22523357210548872,-0.15329664393029424,-0.003998217179826635
