,Lag 0,Lag 1,Lag 2,Lag 3,Lag 4
DGS10,-0.26113447180983435,0.09746343839215789,-0.028692709091392703,-0.05112062312100806,-0.08641200202158789
WM2NS,-0.2334162876512486,-0.20438228498654004,0.042002268266559735,-0.19854061644992715,-0.36340986978814077
CRBL.L,-0.058182442289539164,-0.043458510775607716,0.08906795578454171,0.16688475964753938,0.18709887449062598
CLF,-0.2770960267742212,-0.12501140651979206,0.03988045448501137,0.048149685103955495,0.08216223143036225
IXIC,0.008667295975285334,0.03882172406105543,-0.04460631245300546,0.2628767914398932,0.1486330022161991
INDPRO,-0.2035755592826702,0.033115036308403366,-0.08504670150041277,0.17261975030806243,0.04653924797318202
UNRATE,0.19255097017600992,0.16891687670647051,0.23557306827793947,0.16821199354980176,-0.22284573511010805
FX_EURUSD_daily_volatility,0.3209015133815322,0.02241387615869973,0.026535145686779806,-0.11228302678578812,-0.22173936693947166
GCF,0.23178580623015532,-0.026729711648595538,0.10797138765651808,-0.02591887304532072,0.00446770754462182
HOUST,0.03700193520125064,0.019869021785042018,0.08605317134065434,0.11518086938904956,-0.05485553970722142
PPIACO,0.03193851248950055,0.03844075348789916,-0.08720342258664471,0.22293560377801566,0.24469089140539002
WALCL,-0.17695014159443917,0.053641258070310775,0.10961097103316908,-0.0038929532637240615,0.07529721739838238
CPIAUCSL,-0.2192851528242538,-0.004984325052605042,0.13306969102051058,0.36478993765716095,0.10267421717794796
GSPC,0.11464858834634858,0.012273847185579586,-0.048367709611204845,0.2211812130626381,0.18579125277024888
EFFR,0.2591444996738581,0.1434439183833144,0.07420786321834572,0.054315643040919535,0.12109013804322175
VIX,-0.05243284990989445,0.08900812144209197,0.12475300574694607,-0.07652726547373352,-0.15375452062100947
RSXFS,0.15462913973575268,0.18018676457294117,-0.06477352328983255,0.09153848040919202,-0.22326044732151926
DX-Y.NYB,-0.3627392087874367,-0.03291209393466526,-0.015479595997205135,0.1490591315452239,0.24169208131637065
PCEPI,-0.15449930838416934,-0.09743331301462185,0.03184758137335829,0.3065932878605885,-0.012634366288252163
