,Lag 0,Lag 1,Lag 2,Lag 3,Lag 4
DGS10,0.028833776709860117,0.24547694371159168,0.19371195364726804,0.0156742591934153,-0.016236303028015882
WM2NS,-0.3661718012528963,0.16901542161475888,0.19091501729886337,0.20960479940998497,-0.07780349236243854
CRBL.L,0.20183643696902084,0.1661060652448437,0.03988045448501137,-0.1797929731009402,-0.05862504046357413
CLF,0.19497125203810176,0.08918995621521165,0.11018964751904592,0.10347059990424479,0.09403979539045441
IXIC,0.6262764953230928,0.035912367691140264,-0.023002390313603897,-0.01710850513268206,0.01580042912122351
INDPRO,-0.02129234165966704,0.0027994154405042017,-0.09956862348104115,-0.1283660478585855,0.09627706969022534
UNRATE,0.12855969608604334,-0.1638349589968461,-0.01971756959154559,-0.1870517368273796,-0.17015052545429427
FX_EURUSD_daily_volatility,-0.1783832365663145,-0.0009981888167841985,0.15723638959589123,0.21299998062098915,0.010128566368060346
GCF,0.03338196172659401,0.20256393725534308,-0.03177898368273578,-0.03288521046461641,-0.09207836280988874
HOUST,-0.004284434602250075,-0.03748485553260504,-0.23860524284012674,0.014397608673631195,0.004797860615791961
PPIACO,0.16215935812758614,0.17486104739344538,-0.03098489293886551,-0.0001515537755119073,-0.03470452512089519
WALCL,-0.1730884750707972,0.07391583527315707,0.24588928345716196,-0.05060839242841279,-0.22240466094080819
CPIAUCSL,-0.021941498417583714,-0.10412459870168067,0.07383175185200669,0.12942692428716884,0.1746421264148274
GSPC,0.7281386767356045,0.08037096971890632,-0.06322040608204342,0.0019464766318620307,0.05426630139565041
EFFR,-0.16180323121166199,-0.1325445161723706,-0.05946864624808118,-0.09268145439521983,-0.06099944102177304
VIX,-0.7274521582425126,-0.06400584013813354,0.12591035871869974,0.024279734829015857,-0.037921029890936424
RSXFS,-0.019604534089083678,-0.2040842134552941,-0.1924514115947633,0.09608509367454923,-0.17448219772763432
DX-Y.NYB,0.17643525272462027,0.0374579632626577,-0.05617984217054201,-0.18737398735135022,0.032908479962824144
PCEPI,-0.13541409970141902,-0.23276115211411766,0.19015090910278257,0.24460779367621843,0.01071522204193538
