,Lag 0,Lag 1,Lag 2,Lag 3,Lag 4
DGS10,-0.07088303441173946,0.07018822242420325,-0.027438910038659572,0.020899012257887067,-0.022665443153203384
WM2NS,-0.20483995537629793,0.06773345298708734,0.04537788110084123,0.013113105730438942,0.05895194589366841
CRBL.L,-0.017677851197116623,0.06309666627253506,-0.016347610726020378,-0.19321341724693628,-0.08564922268470124
CLF,0.024714665751308672,-0.09846352964431622,0.1424990846471688,0.05071083856693186,-0.07714968150224996
IXIC,0.7120913069595812,0.06764253560052749,-0.1283215107431865,0.13399954918292295,0.33649465604371176
INDPRO,-0.12866286941908556,0.22381667838957983,0.1629762234162601,-0.11101314056247212,0.22917780874766266
UNRATE,-0.15965353952772945,-0.10095570853000102,0.22735076193004797,-0.18225769501121025,-0.32442151803251
FX_EURUSD_daily_volatility,0.12223189146674525,0.1500005558312982,0.048976847846560916,0.1266126746891704,0.08222653341812432
GCF,-0.05509310907062559,0.1150104939982087,-0.08366697524969133,0.03544636392759276,-0.11496174291648832
HOUST,-0.08880464448300154,0.006145058284033614,-0.09122930194761099,0.11662063025641269,0.1930339254420299
PPIACO,0.2631681496594212,0.17779701968470588,-0.26549236571515156,0.05296804454141161,0.05181689465055318
WALCL,0.19522869647301125,0.20074558952414612,0.177123227718799,-0.07396611201075716,-0.23166698146014608
CPIAUCSL,0.04323384007725075,0.046838999809411766,0.048094880222972224,0.18815401229803294,0.09403806806952243
GSPC,0.6981034926628336,0.056914283986465336,-0.1518543545021775,0.0530670997528701,0.3809537945365338
EFFR,0.04241893525755076,0.06228229834825049,0.0761526210130334,0.07177424258978653,-0.10552789703766698
VIX,-0.6365742727194713,-0.06064189683541914,0.22380313091286305,0.047022777580245895,-0.411682904965396
RSXFS,-0.11905534940191874,0.04192295318218488,0.04838244303446981,0.025536811173756384,-0.2187824440801134
DX-Y.NYB,-0.09139277439286021,-0.13192112789834057,-0.011332414515087872,-0.1552058998563672,-0.03737618750744596
PCEPI,-0.06024174713466771,-0.03987460042084034,0.14629758034939983,0.11131624811349591,-0.06013318638459258
