,Lag 0,Lag 1,Lag 2,Lag 3,Lag 4
DGS10,0.20716584443015085,0.060553729953275924,-0.16488251450148353,0.1394875472186411,0.27325330321915214
WM2NS,0.22552132498069166,0.10391857283790715,0.039398224080114015,-0.08195691081524338,0.2796131112073071
CRBL.L,0.05166051660516605,-0.025820537782997054,-0.12456011358498713,0.07970309576782421,0.024408938780372872
CLF,0.1203123659143568,0.09009913008081014,0.05560116568466518,0.01065439840598164,0.1467805381123315
IXIC,0.3482365056208701,0.34466781244838673,-0.22949344969065186,0.10695376861389262,0.08020079884979658
INDPRO,-0.2087688133460036,0.2280499407630252,-0.1875628437993042,0.005304382142916756,0.23573488492257835
UNRATE,-0.19313983240100283,0.08351559999468011,0.058198609762608766,-0.13752278023462122,-0.21744993665835688
FX_EURUSD_daily_volatility,-0.019943999097865296,-0.09664282635228831,0.20086768177778325,0.1552719704959349,-0.12992881373221501
GCF,0.11653651420235132,-0.22729346639962195,-0.0266673413908238,0.06525819023663755,-0.05056137318791523
HOUST,-0.10983732343950192,0.15567480986218488,-0.24478784328732497,-0.1076031806134542,0.354721828194219
PPIACO,0.14969554837558594,0.21166311867226892,-0.09151686475910857,-0.107906288164478,0.045579675850023635
WALCL,-0.09757144083068738,0.09019004746736999,-0.1881180809504587,0.09005015575824869,0.11463483748639403
CPIAUCSL,-0.046479623866834144,0.23897448882352942,0.022501789999686557,-0.013791393571583566,-0.015353153970534274
GSPC,0.35458680168197027,0.39994558347677484,-0.16014871746641202,0.02755801126162559,0.07377165872460908
EFFR,-0.0247289426064761,-0.21623635457783213,-0.03142319173521673,-0.05043595425228243,-0.27478146709808005
VIX,-0.3334763580193941,-0.44122207697494614,0.2242853613177604,-0.05511602252325118,-0.1342491632920508
RSXFS,-0.06076107254100105,0.19145270476033613,-0.24320624782408823,-0.2703719355132426,0.020151014586326236
DX-Y.NYB,0.030979147000772332,0.1293754410746648,-0.21502653754373116,-0.06136523697291349,0.11953841893780821
PCEPI,0.03102969302841721,0.14925663787663865,0.015456501117995557,0.002424860408190517,-0.07372712479600313
N225,0.28378958208186733,0.16674248695076263,0.012393321405862058,0.11074427573909763,-0.05949678827715888
CAT,0.19342658542864496,0.2697518859230713,0.13121489317257065,-0.008912814051157718,-0.10896847669809319
CVX,0.15446666094567923,0.16046918727813309,-0.06428131297281758,-0.15571813054896244,0.04260667438895443
GS,0.1851025486999056,0.4214930040914589,-0.01866231666952769,0.04364205500911711,0.027024182221127107
JPM,0.2235475843130524,0.346304325406464,-0.02608866490494698,0.1329750877977324,0.0004358739067923727
005930.KS,-0.08289888654800934,-0.024230033806829657,-0.06433108476045797,0.06889678889184246,-0.23363476151776297
JNJ,0.03115077662404531,-0.24111290915671896,-0.0887786175416033,-0.12908213453400835,-0.23798715310863552
INDPRO_deseas,-0.2087688133460036,0.2280499407630252,-0.1875628437993042,0.005304382142916756,0.23573488492257835
UNRATE_deseas,-0.19313983240100283,0.08351559999468011,0.058198609762608766,-0.13752278023462122,-0.21744993665835688
GCF_deseas,0.11653651420235132,-0.22729346639962195,-0.0266673413908238,0.06525819023663755,-0.05056137318791523
HOUST_deseas,-0.10983732343950192,0.15567480986218488,-0.24478784328732497,-0.1076031806134542,0.354721828194219
RSXFS_deseas,-0.06076107254100105,0.19145270476033613,-0.24320624782408823,-0.2703719355132426,0.020151014586326236
