DATE,HOUST
2020-08-01,1396.0
2020-09-01,1473.0
2020-10-01,1543.0
2020-11-01,1543.0
2020-12-01,1614.0
2021-01-01,1630.0
2021-02-01,1404.0
2021-03-01,1696.0
2021-04-01,1495.0
2021-05-01,1589.0
2021-06-01,1650.0
2021-07-01,1597.0
2021-08-01,1594.0
2021-09-01,1577.0
2021-10-01,1579.0
2021-11-01,1705.0
2021-12-01,1722.0
2022-01-01,1702.0
2022-02-01,1735.0
2022-03-01,1712.0
2022-04-01,1820.0
2022-05-01,1531.0
2022-06-01,1551.0
2022-07-01,1381.0
2022-08-01,1531.0
2022-09-01,1488.0
2022-10-01,1435.0
2022-11-01,1424.0
2022-12-01,1308.0
2023-01-01,1361.0
2023-02-01,1399.0
2023-03-01,1377.0
2023-04-01,1354.0
2023-05-01,1584.0
2023-06-01,1421.0
2023-07-01,1460.0
2023-08-01,1317.0
2023-09-01,1371.0
2023-10-01,1368.0
2023-11-01,1514.0
2023-12-01,1521.0
2024-01-01,1381.0
2024-02-01,1552.0
2024-03-01,1312.0
2024-04-01,1385.0
2024-05-01,1316.0
2024-06-01,1327.0
2024-07-01,1265.0
2024-08-01,1391.0
2024-09-01,1357.0
2024-10-01,1352.0
2024-11-01,1295.0
2024-12-01,1514.0
2025-01-01,1358.0
2025-02-01,1490.0
2025-03-01,1355.0
2025-04-01,1398.0
2025-05-01,1282.0
2025-06-01,1382.0
2025-07-01,1420.0
2025-08-01,1291.0
2025-09-01,1328.0
2025-10-01,1272.0
2025-11-01,1322.0
2025-12-01,1404.0
