DATE,RSXFS
2020-08-01,473696.0
2020-09-01,482702.0
2020-10-01,480763.0
2020-11-01,478079.0
2020-12-01,485949.0
2021-01-01,501604.0
2021-02-01,488805.0
2021-03-01,539607.0
2021-04-01,542199.0
2021-05-01,536589.0
2021-06-01,540152.0
2021-07-01,528600.0
2021-08-01,532477.0
2021-09-01,536651.0
2021-10-01,545361.0
2021-11-01,551082.0
2021-12-01,547277.0
2022-01-01,560257.0
2022-02-01,563777.0
2022-03-01,574485.0
2022-04-01,580943.0
2022-05-01,579844.0
2022-06-01,585556.0
2022-07-01,579267.0
2022-08-01,581196.0
2022-09-01,579446.0
2022-10-01,585006.0
2022-11-01,576356.0
2022-12-01,569119.0
2023-01-01,591964.0
2023-02-01,586165.0
2023-03-01,578812.0
2023-04-01,583874.0
2023-05-01,586286.0
2023-06-01,588670.0
2023-07-01,589257.0
2023-08-01,595191.0
2023-09-01,598956.0
2023-10-01,595517.0
2023-11-01,593567.0
2023-12-01,594256.0
2024-01-01,588944.0
2024-02-01,593206.0
2024-03-01,595969.0
2024-04-01,595676.0
2024-05-01,600372.0
2024-06-01,599979.0
2024-07-01,605814.0
2024-08-01,603601.0
2024-09-01,608774.0
2024-10-01,612772.0
2024-11-01,616344.0
2024-12-01,621803.0
2025-01-01,615973.0
2025-02-01,616714.0
2025-03-01,625121.0
2025-04-01,623521.0
2025-05-01,618037.0
2025-06-01,624146.0
2025-07-01,628747.0
2025-08-01,632149.0
2025-09-01,632395.0
2025-10-01,631346.0
2025-11-01,634711.0
2025-12-01,634738.0
