Date,Total Tx Count,Total Fees,Total Input Value,Total Output Value,Total BTC Created,Total BTC Sent,Largest Amt Sent,Avg Transaction Fee,Efficiency Ratio
2020-06-15,294468,34.18315891,1009667.62387002,1009633.44071111,136.06214353,1009633.44071111,43935.33113612,0.00011608,0.99996614
2020-06-16,340517,50.59742513,1353213.66930217,1353163.07187704,39.50759569,1353163.07187704,43735.33099172,0.00014859,0.99996261
2020-06-17,333547,47.79264099,935032.96259449,934985.1699535,6.49941516,934985.1699535,43435.33075672,0.00014329,0.99994889
2020-06-18,280603,44.08269654,776003.47410975,775959.39141321,93.00505119,775959.39141321,76124.71306814,0.0001571,0.99994319
2020-06-19,347436,50.27471305,1456642.85357587,1456592.57886282,12.81047594,1456592.57886282,43635.33370212,0.0001447,0.99996549
2020-06-20,284123,30.01002493,543906.08690205,543876.07687712,89.39449294,543876.07687712,3961.35873265,0.00010562,0.99994482
2020-06-21,259440,24.97941736,474927.38766767,474902.40825031,51.00694754,474902.40825031,3571.35317945,9.628e-05,0.9999474
2020-06-22,301396,36.15947427,961723.41634143,961687.25686716,122.78426826,961687.25686716,7370.64563717,0.00011997,0.9999624
2020-06-23,355256,45.81049682,1352326.64144846,1352280.83095164,143.65229859,1352280.83095164,10272.14906005,0.00012895,0.99996612
2020-06-24,312321,42.3573449,1311041.44175838,1310999.08441348,12.9913388,1310999.08441348,61301.89352806,0.00013562,0.99996769
2020-06-25,312183,40.08334016,1187003.91995812,1186963.83661796,18.85506857,1186963.83661796,19991.3599835,0.0001284,0.99996623
2020-06-26,330381,34.04227231,1222806.11613144,1222772.07385913,103.2677155,1222772.07385913,101857.24562738,0.00010304,0.99997216
2020-06-27,275489,23.40413949,577735.05872123,577711.65458174,103.15237845,577711.65458174,2200.47318918,8.495e-05,0.99995949
2020-06-28,264909,19.69907106,682563.20586801,682543.50679695,44.17673309,682543.50679695,9454.20847647,7.436e-05,0.99997114
2020-06-29,315424,33.39475024,1012661.71454736,1012628.31979712,12.62998749,1012628.31979712,14151.26060403,0.00010587,0.99996702
2020-06-30,299733,42.97241908,1096811.52154463,1096768.54912555,230.03669893,1096768.54912555,21800.00449599,0.00014337,0.99996082
2020-07-01,382570,62.82571084,1084303.6627945,1084240.83708366,124.46307615,1084240.83708366,6500.0,0.00016422,0.99994206
2020-07-02,339469,56.01403666,1029996.5341106,1029940.52007394,38.58306125,1029940.52007394,17058.4975219,0.000165,0.99994562
2020-07-03,331009,53.78625541,970700.50499503,970646.71873962,72.73545823,970646.71873962,8450.47196788,0.00016249,0.99994459
2020-07-04,288647,31.87048128,675469.31371394,675437.44323266,153.40053488,675437.44323266,2531.2492188,0.00011041,0.99995282
2020-07-05,274104,25.1095593,599254.21108575,599229.10152645,127.39346397,599229.10152645,3154.78228131,9.161e-05,0.9999581
2020-07-06,338767,36.90829526,1158562.84007782,1158525.93178256,64.79146613,1158525.93178256,16662.06917935,0.00010895,0.99996814
2020-07-07,345975,40.72918894,991276.69675198,991235.96756304,38.88072821,991235.96756304,8430.47176788,0.00011772,0.99995891
